SOIL_LANDSCAPE_ID,ERI_1981_VAL,ERI_1981_CLASS,ERI_1981_CLASS_EN,ERI_1981_CLASS_FR,ERI_1986_VAL,ERI_1986_CLASS,ERI_1986_CLASS_EN,ERI_1986_CLASS_FR,ERI_1991_VAL,ERI_1991_CLASS,ERI_1991_CLASS_EN,ERI_1991_CLASS_FR,ERI_1996_VAL,ERI_1996_CLASS,ERI_1996_CLASS_EN,ERI_1996_CLASS_FR,ERI_2001_VAL,ERI_2001_CLASS,ERI_2001_CLASS_EN,ERI_2001_CLASS_FR,ERI_2006_VAL,ERI_2006_CLASS,ERI_2006_CLASS_EN,ERI_2006_CLASS_FR,ERI_2011_VAL,ERI_2011_CLASS,ERI_2011_CLASS_EN,ERI_2011_CLASS_FR,ERI_2016_VAL,ERI_2016_CLASS,ERI_2016_CLASS_EN,ERI_2016_CLASS_FR,ERI_2021_VAL,ERI_2021_CLASS,ERI_2021_CLASS_EN,ERI_2021_CLASS_FR,ERI_81_21_CHG_VAL,ERI_81_21_CHG_CLASS,ERI_81_21_CHG_CLASS_EN,ERI_81_21_CHG_CLASS_FR
780003,3.936,1,Very Low,Très faible,3.507,1,Very Low,Très faible,2.962,1,Very Low,Très faible,2.448,1,Very Low,Très faible,2.217,1,Very Low,Très faible,1.618,1,Very Low,Très faible,1.171,1,Very Low,Très faible,1.272,1,Very Low,Très faible,1.158,1,Very Low,Très faible,-2.778,-1,Decrease,Diminuation
780004,4.316,1,Very Low,Très faible,3.843,1,Very Low,Très faible,3.241,1,Very Low,Très faible,2.736,1,Very Low,Très faible,2.389,1,Very Low,Très faible,1.839,1,Very Low,Très faible,1.332,1,Very Low,Très faible,1.434,1,Very Low,Très faible,1.268,1,Very Low,Très faible,-3.048,-1,Decrease,Diminuation
780005,10.877,2,Low,Faible,9.797,2,Low,Faible,8.106,2,Low,Faible,6.913,2,Low,Faible,6.25,2,Low,Faible,4.517,1,Very Low,Très faible,3.358,1,Very Low,Très faible,3.839,1,Very Low,Très faible,3.587,1,Very Low,Très faible,-7.29,-2,Large Decrease,Grande diminuation
780006,9.028,2,Low,Faible,7.913,2,Low,Faible,6.556,2,Low,Faible,5.379,1,Very Low,Très faible,4.934,1,Very Low,Très faible,3.57,1,Very Low,Très faible,2.487,1,Very Low,Très faible,2.614,1,Very Low,Très faible,2.637,1,Very Low,Très faible,-6.391,-2,Large Decrease,Grande diminuation
781001,3.978,1,Very Low,Très faible,3.61,1,Very Low,Très faible,3.341,1,Very Low,Très faible,2.679,1,Very Low,Très faible,1.723,1,Very Low,Très faible,1.183,1,Very Low,Très faible,0.904,1,Very Low,Très faible,0.906,1,Very Low,Très faible,0.94,1,Very Low,Très faible,-3.038,-1,Decrease,Diminuation
781002,3.92,1,Very Low,Très faible,3.598,1,Very Low,Très faible,3.354,1,Very Low,Très faible,2.87,1,Very Low,Très faible,1.905,1,Very Low,Très faible,1.18,1,Very Low,Très faible,0.915,1,Very Low,Très faible,0.867,1,Very Low,Très faible,0.89,1,Very Low,Très faible,-3.03,-1,Decrease,Diminuation
781003,54.07,5,Very High,Très élevé,50.572,5,Very High,Très élevé,47.607,5,Very High,Très élevé,38.891,5,Very High,Très élevé,26.782,4,High,Élevé,17.951,3,Moderate,Moyen,13.453,3,Moderate,Moyen,13.169,3,Moderate,Moyen,13.601,3,Moderate,Moyen,-40.469,-2,Large Decrease,Grande diminuation
781004,5.625,1,Very Low,Très faible,5.242,1,Very Low,Très faible,4.685,1,Very Low,Très faible,3.973,1,Very Low,Très faible,2.36,1,Very Low,Très faible,1.571,1,Very Low,Très faible,1.129,1,Very Low,Très faible,1.133,1,Very Low,Très faible,1.196,1,Very Low,Très faible,-4.429,-1,Decrease,Diminuation
781005,5.039,1,Very Low,Très faible,4.673,1,Very Low,Très faible,4.402,1,Very Low,Très faible,3.716,1,Very Low,Très faible,2.513,1,Very Low,Très faible,1.703,1,Very Low,Très faible,1.378,1,Very Low,Très faible,1.328,1,Very Low,Très faible,1.363,1,Very Low,Très faible,-3.676,-1,Decrease,Diminuation
781006,3.492,1,Very Low,Très faible,3.293,1,Very Low,Très faible,3.013,1,Very Low,Très faible,2.445,1,Very Low,Très faible,1.578,1,Very Low,Très faible,1.08,1,Very Low,Très faible,0.851,1,Very Low,Très faible,0.805,1,Very Low,Très faible,0.829,1,Very Low,Très faible,-2.663,-1,Decrease,Diminuation
