SOIL_LANDSCAPE_ID,ERI_TILL_1981_VAL,ERI_TILL_1981_CLASS,ERI_TILL_1981_CLASS_EN,ERI_TILL_1981_CLASS_FR,ERI_TILL_1986_VAL,ERI_TILL_1986_CLASS,ERI_TILL_1986_CLASS_EN,ERI_TILL_1986_CLASS_FR,ERI_TILL_1991_VAL,ERI_TILL_1991_CLASS,ERI_TILL_1991_CLASS_EN,ERI_TILL_1991_CLASS_FR,ERI_TILL_1996_VAL,ERI_TILL_1996_CLASS,ERI_TILL_1996_CLASS_EN,ERI_TILL_1996_CLASS_FR,ERI_TILL_2001_VAL,ERI_TILL_2001_CLASS,ERI_TILL_2001_CLASS_EN,ERI_TILL_2001_CLASS_FR,ERI_TILL_2006_VAL,ERI_TILL_2006_CLASS,ERI_TILL_2006_CLASS_EN,ERI_TILL_2006_CLASS_FR,ERI_TILL_2011_VAL,ERI_TILL_2011_CLASS,ERI_TILL_2011_CLASS_EN,ERI_TILL_2011_CLASS_FR,ERI_TILL_2016_VAL,ERI_TILL_2016_CLASS,ERI_TILL_2016_CLASS_EN,ERI_TILL_2016_CLASS_FR,ERI_TILL_2021_VAL,ERI_TILL_2021_CLASS,ERI_TILL_2021_CLASS_EN,ERI_TILL_2021_CLASS_FR,ERI_TILL_81_21_CHG_VAL,ERI_TILL_81_21_CHG_CLASS,ERI_TILL_81_21_CHG_CLASS_EN,ERI_TILL_81_21_CHG_CLASS_FR
487007,32.812,4,High,Élevé,31.151,4,High,Élevé,30.006,4,High,Élevé,21.694,3,Moderate,Moyen,29.654,4,High,Élevé,27.676,4,High,Élevé,20.397,3,Moderate,Moyen,22.52,4,High,Élevé,18.15,3,Moderate,Moyen,-14.662,-2,Large Decrease,Grande diminuation
487010,4.538,1,Very Low,Très faible,3.344,1,Very Low,Très faible,2.97,1,Very Low,Très faible,2.257,1,Very Low,Très faible,2.606,1,Very Low,Très faible,2.589,1,Very Low,Très faible,1.608,1,Very Low,Très faible,1.868,1,Very Low,Très faible,2.541,1,Very Low,Très faible,-1.997,-1,Decrease,Diminuation
487011,31.768,4,High,Élevé,30.06,4,High,Élevé,28.565,4,High,Élevé,20.888,3,Moderate,Moyen,24.155,4,High,Élevé,25.305,4,High,Élevé,17.729,3,Moderate,Moyen,17.313,3,Moderate,Moyen,18.498,3,Moderate,Moyen,-13.27,-2,Large Decrease,Grande diminuation
487012,2.616,1,Very Low,Très faible,2.415,1,Very Low,Très faible,2.374,1,Very Low,Très faible,1.806,1,Very Low,Très faible,,0,Not Assessed,Elément non évalué,1.277,1,Very Low,Très faible,1.285,1,Very Low,Très faible,1.494,1,Very Low,Très faible,,0,Not Assessed,Elément non évalué,,,Not Assessed,Elément non évalué
487013,31.147,4,High,Élevé,28.916,4,High,Élevé,29.181,4,High,Élevé,21.235,3,Moderate,Moyen,28.232,4,High,Élevé,26.256,4,High,Élevé,18.621,3,Moderate,Moyen,20.693,3,Moderate,Moyen,16.846,3,Moderate,Moyen,-14.301,-2,Large Decrease,Grande diminuation
487014,32.715,4,High,Élevé,30.204,4,High,Élevé,29.693,4,High,Élevé,22.575,4,High,Élevé,21.615,3,Moderate,Moyen,27.884,4,High,Élevé,13.11,3,Moderate,Moyen,18.816,3,Moderate,Moyen,16.255,3,Moderate,Moyen,-16.46,-2,Large Decrease,Grande diminuation
487015,31.89,4,High,Élevé,32.234,4,High,Élevé,31.848,4,High,Élevé,24.078,4,High,Élevé,32.311,4,High,Élevé,28.131,4,High,Élevé,29.383,4,High,Élevé,29.345,4,High,Élevé,33.364,5,Very High,Très élevé,1.474,1,Increase,Augmentation
487016,3.925,1,Very Low,Très faible,3.856,1,Very Low,Très faible,3.771,1,Very Low,Très faible,2.636,1,Very Low,Très faible,3.45,1,Very Low,Très faible,3.053,1,Very Low,Très faible,2.602,1,Very Low,Très faible,3.174,1,Very Low,Très faible,2.634,1,Very Low,Très faible,-1.291,-1,Decrease,Diminuation
487017,34.785,5,Very High,Très élevé,32.615,4,High,Élevé,30.306,4,High,Élevé,20.939,3,Moderate,Moyen,25.68,4,High,Élevé,24.866,4,High,Élevé,17.185,3,Moderate,Moyen,19.904,3,Moderate,Moyen,20.563,3,Moderate,Moyen,-14.222,-2,Large Decrease,Grande diminuation
487018,2.616,1,Very Low,Très faible,2.415,1,Very Low,Très faible,2.374,1,Very Low,Très faible,1.805,1,Very Low,Très faible,1.787,1,Very Low,Très faible,2.54,1,Very Low,Très faible,1.049,1,Very Low,Très faible,1.682,1,Very Low,Très faible,1.318,1,Very Low,Très faible,-1.298,-1,Decrease,Diminuation
487019,32.097,4,High,Élevé,29.841,4,High,Élevé,29.028,4,High,Élevé,26.65,4,High,Élevé,37.265,5,Very High,Très élevé,29.949,4,High,Élevé,13.442,3,Moderate,Moyen,29.652,4,High,Élevé,32.931,4,High,Élevé,0.833999999999996,0,Little or no change,Peu ou pas de changement
487020,44.077,5,Very High,Très élevé,44.642,5,Very High,Très élevé,46.023,5,Very High,Très élevé,30.278,4,High,Élevé,32.343,4,High,Élevé,31.484,4,High,Élevé,14.678,3,Moderate,Moyen,17.585,3,Moderate,Moyen,14.017,3,Moderate,Moyen,-30.06,-2,Large Decrease,Grande diminuation
487022,7.703,2,Low,Faible,5.959,1,Very Low,Très faible,6.065,2,Low,Faible,5.923,1,Very Low,Très faible,5.199,1,Very Low,Très faible,5.56,1,Very Low,Très faible,3.211,1,Very Low,Très faible,3.312,1,Very Low,Très faible,3.558,1,Very Low,Très faible,-4.145,-1,Decrease,Diminuation
487023,20.192,3,Moderate,Moyen,17.925,3,Moderate,Moyen,20.106,3,Moderate,Moyen,18.731,3,Moderate,Moyen,14.72,3,Moderate,Moyen,19.531,3,Moderate,Moyen,10.306,2,Low,Faible,11.417,3,Moderate,Moyen,12.774,3,Moderate,Moyen,-7.418,-2,Large Decrease,Grande diminuation
488013,4.236,1,Very Low,Très faible,3.858,1,Very Low,Très faible,3.482,1,Very Low,Très faible,3.546,1,Very Low,Très faible,5.248,1,Very Low,Très faible,4.234,1,Very Low,Très faible,4.334,1,Very Low,Très faible,3.387,1,Very Low,Très faible,,0,Not Assessed,Elément non évalué,,,Not Assessed,Elément non évalué
488015,9.24,2,Low,Faible,7.912,2,Low,Faible,6.986,2,Low,Faible,6.97,2,Low,Faible,10.617,2,Low,Faible,8.678,2,Low,Faible,10.46,2,Low,Faible,7.378,2,Low,Faible,5.295,1,Very Low,Très faible,-3.945,-1,Decrease,Diminuation
488017,3.036,1,Very Low,Très faible,2.609,1,Very Low,Très faible,2.516,1,Very Low,Très faible,2.114,1,Very Low,Très faible,3.784,1,Very Low,Très faible,2.849,1,Very Low,Très faible,2.195,1,Very Low,Très faible,1.544,1,Very Low,Très faible,1.599,1,Very Low,Très faible,-1.437,-1,Decrease,Diminuation
